columna columnb columnc columnd columne columnf columng columnh columni columnj columnk columnl columnm columnn columno columnp columnq columnr columns columnt columnu
284 210 330 167 255 523 329 327 243 188 504 330 357 500 354 149 269 154 595 349 594 
378 541 283 154 393 320 212 288 223 456 381 257 294 292 478 253 116 344 319 122 408 
246 518 410 272 401 580 530 284 398 412 508 498 100 182 399 142 304 206 140 386 396 
189 347 366 113 474 461 327 254 146 247 108 328 487 551 264 344 365 206 169 394 479 
394 150 523 500 290 422 290 545 445 353 534 289 298 369 545 428 179 537 331 518 189 
358 595 476 303 389 165 554 381 313 272 192 257 382 147 361 290 471 466 300 470 545 
390 333 239 588 144 452 359 274 285 175 578 161 314 385 434 438 576 169 547 506 126 
145 297 272 176 108 147 121 128 442 194 478 313 469 126 157 414 240 166 385 320 236 
472 185 211 313 564 122 329 179 576 164 241 506 356 129 167 226 587 216 581 463 571 
274 383 163 245 304 457 195 534 361 514 273 349 542 457 441 348 275 448 514 166 300 
204 528 450 333 133 474 434 557 342 173 446 188 137 195 581 349 294 360 256 386 507 
